timestamp,close,action,momentum
2017-12-27,21970000.0,SELL,-1821000.0
2017-12-29,19290000.0,BUY,1521000.0
2017-12-31,19280000.0,SELL,-27000.0
2018-01-02,20263000.0,BUY,1905000.0
2018-01-10,21317000.0,SELL,-883000.0
2018-01-11,19389000.0,BUY,300000.0
2018-01-14,19206000.0,SELL,-616000.0
2018-02-19,12649000.0,BUY,1022000.0
2018-03-07,11200000.0,SELL,-157000.0
2018-04-16,8663000.0,BUY,12000.0
2018-04-17,8450000.0,SELL,-280000.0
2018-04-18,8652000.0,BUY,737000.0
2018-05-11,9256000.0,SELL,-479000.0
2018-05-13,9803000.0,BUY,43000.0
2018-05-14,9797000.0,SELL,-708000.0
2018-07-03,7298000.0,BUY,258000.0
2018-07-04,7329000.0,SELL,-26000.0
2018-07-05,7377000.0,BUY,197000.0
2018-07-09,7474000.0,SELL,-79000.0
2018-07-12,7090000.0,BUY,128000.0
2018-08-06,7982000.0,SELL,-98000.0
2018-08-28,7839000.0,BUY,531000.0
2018-09-07,7382000.0,SELL,-9000.0
2018-09-27,7447000.0,BUY,65000.0
2018-10-11,7187000.0,SELL,-350000.0
2018-10-15,7413000.0,BUY,114000.0
2018-10-17,7327000.0,SELL,-120000.0
2018-11-01,7186000.0,BUY,3000.0
2018-11-02,7179000.0,SELL,-10000.0
2018-12-23,4439000.0,BUY,52000.0
2018-12-25,4243000.0,SELL,-19000.0
2018-12-26,4293000.0,BUY,328000.0
2019-01-09,4458000.0,SELL,-94000.0
2019-02-09,3998000.0,BUY,14000.0
2019-02-11,3986000.0,SELL,-27000.0
2019-02-14,3984000.0,BUY,27000.0
2019-03-13,4325000.0,SELL,-3000.0
2019-03-16,4445000.0,BUY,267000.0
2019-04-30,6117000.0,SELL,-49000.0
2019-05-01,6192000.0,BUY,332000.0
2019-06-04,9486000.0,SELL,-120000.0
2019-06-05,9583000.0,BUY,118000.0
2019-06-09,9474000.0,SELL,-107000.0
2019-06-10,9731000.0,BUY,222000.0
2019-07-14,12425000.0,SELL,-466000.0
2019-08-03,12773000.0,BUY,348000.0
2019-08-04,12958000.0,SELL,-208000.0
2019-08-05,14181000.0,BUY,2733000.0
2019-08-21,12293000.0,SELL,-24000.0
2019-09-03,12703000.0,BUY,501000.0
2019-09-06,12341000.0,SELL,-83000.0
2019-09-13,12306000.0,BUY,105000.0
2019-09-15,12169000.0,SELL,-252000.0
2019-09-17,12061000.0,BUY,274000.0
2019-09-22,11936000.0,SELL,-499000.0
2019-10-25,10063000.0,BUY,343000.0
2019-11-15,9914000.0,SELL,-816000.0
2019-12-14,8277000.0,BUY,59000.0
2019-12-15,8319000.0,SELL,-19000.0
2019-12-22,8689000.0,BUY,104000.0
2019-12-23,8520000.0,SELL,-87000.0
2020-01-03,8474000.0,BUY,197000.0
2020-02-26,10741000.0,SELL,-523000.0
2020-04-01,8074000.0,BUY,1711000.0
2020-04-15,8108000.0,SELL,-164000.0
2020-04-16,8562000.0,BUY,682000.0
2020-05-24,10664000.0,SELL,-186000.0
2020-05-30,11581000.0,BUY,910000.0
2020-06-03,11648000.0,SELL,-128000.0
2020-06-04,11784000.0,BUY,470000.0
2020-06-07,11687000.0,SELL,-18000.0
2020-06-09,11688000.0,BUY,156000.0
2020-06-11,11090000.0,SELL,-27000.0
2020-06-12,11380000.0,BUY,240000.0
2020-06-17,11437000.0,SELL,-142000.0
2020-06-22,11593000.0,BUY,73000.0
2020-06-23,11509000.0,SELL,-139000.0
2020-07-17,10937000.0,BUY,24000.0
2020-07-18,10905000.0,SELL,-65000.0
2020-07-20,10950000.0,BUY,47000.0
2020-08-21,13781000.0,SELL,-141000.0
2020-08-22,13840000.0,BUY,810000.0
2020-08-25,13476000.0,SELL,-367000.0
2020-08-31,13739000.0,BUY,120000.0
2020-09-02,13571000.0,SELL,-239000.0
2020-09-25,12455000.0,BUY,73000.0
2020-10-04,12447000.0,SELL,-212000.0
2020-10-10,12864000.0,BUY,45000.0
2020-12-10,19950000.0,SELL,-677000.0
2020-12-12,20585000.0,BUY,278000.0
2020-12-14,20939000.0,SELL,-18000.0
2020-12-15,21103000.0,BUY,263000.0
2021-01-23,35493000.0,SELL,-2044000.0
2021-02-05,40424000.0,BUY,338000.0
2021-04-20,70402000.0,SELL,-1111000.0
2021-05-09,71505000.0,BUY,49000.0
2021-05-15,58807000.0,SELL,-1052000.0
2021-06-17,44854000.0,BUY,1131000.0
2021-06-18,42599000.0,SELL,-89000.0
2021-06-27,39985000.0,BUY,921000.0
2021-06-29,41528000.0,SELL,-1750000.0
2021-07-11,40194000.0,BUY,2801000.0
2021-07-13,38713000.0,SELL,-364000.0
2021-07-15,37606000.0,BUY,454000.0
2021-07-16,37199000.0,SELL,-430000.0
2021-07-25,41070000.0,BUY,1564000.0
2021-09-09,55900000.0,SELL,-1783000.0
2021-09-15,57207000.0,BUY,1982000.0
2021-09-16,57277000.0,SELL,-124000.0
2021-09-17,57642000.0,BUY,214000.0
2021-09-20,53801000.0,SELL,-1429000.0
2021-10-01,58348000.0,BUY,3548000.0
2021-11-04,73807000.0,SELL,-1881000.0
2021-11-08,81403000.0,BUY,2627000.0
2021-11-18,70611000.0,SELL,-3957000.0
2021-11-20,73669000.0,BUY,1278000.0
2021-11-22,70589000.0,SELL,-3561000.0
2022-02-06,51732000.0,BUY,296000.0
2022-02-20,47131000.0,SELL,-135000.0
2022-02-22,46474000.0,BUY,957000.0
2022-02-23,45543000.0,SELL,-292000.0
2022-03-01,53790000.0,BUY,130000.0
2022-03-03,51842000.0,SELL,-40000.0
2022-03-09,51570000.0,BUY,2194000.0
2022-03-10,48917000.0,SELL,-98000.0
2022-03-12,48500000.0,BUY,1369000.0
2022-03-20,50462000.0,SELL,-1870000.0
2022-03-23,52138000.0,BUY,296000.0
2022-04-11,50050000.0,SELL,-1654000.0
2022-05-04,50616000.0,BUY,371000.0
2022-05-05,47647000.0,SELL,-3203000.0
2022-06-06,39532000.0,BUY,273000.0
2022-06-08,38581000.0,SELL,-199000.0
2022-06-09,38256000.0,BUY,494000.0
2022-06-10,37611000.0,SELL,-426000.0
2022-07-06,26954000.0,BUY,56000.0
2022-07-11,26460000.0,SELL,-507000.0
2022-07-16,27857000.0,BUY,397000.0
2022-08-19,28678000.0,SELL,-2603000.0
2022-09-09,29350000.0,BUY,10000.0
2022-09-13,28371000.0,SELL,-733000.0
2022-09-15,28024000.0,BUY,55000.0
2022-09-18,27490000.0,SELL,-302000.0
2022-09-19,27566000.0,BUY,252000.0
2022-09-20,26757000.0,SELL,-773000.0
2022-09-22,27572000.0,BUY,1000.0
2022-09-24,27270000.0,SELL,-258000.0
2022-09-26,27597000.0,BUY,1236000.0
2022-09-29,28033000.0,SELL,-1317000.0
2022-10-04,28980000.0,BUY,636000.0
2022-10-07,27805000.0,SELL,-369000.0
2022-10-08,27743000.0,BUY,253000.0
2022-10-12,27460000.0,SELL,-112000.0
2022-10-13,27810000.0,BUY,216000.0
2022-10-18,27812000.0,SELL,-140000.0
2022-10-26,29079000.0,BUY,661000.0
2022-11-08,26650000.0,SELL,-1007000.0
2022-12-03,22830000.0,BUY,320000.0
2022-12-05,22725000.0,SELL,-278000.0
2022-12-10,22831000.0,BUY,43000.0
2022-12-16,22249000.0,SELL,-411000.0
2023-01-08,21704000.0,BUY,50000.0
2023-01-09,21655000.0,SELL,-356000.0
2023-01-11,22485000.0,BUY,594000.0
2023-02-10,28120000.0,SELL,-213000.0
2023-02-14,28798000.0,BUY,62000.0
2023-03-07,29579000.0,SELL,-1607000.0
2023-03-14,32490000.0,BUY,871000.0
2023-04-08,37080000.0,SELL,-153000.0
2023-04-09,37313000.0,BUY,18000.0
2023-04-21,36337000.0,SELL,-1248000.0
2023-04-25,37877000.0,BUY,738000.0
2023-05-01,37769000.0,SELL,-2235000.0
2023-05-11,36411000.0,BUY,74000.0
2023-05-12,36341000.0,SELL,-841000.0
2023-05-28,37350000.0,BUY,95000.0
2023-05-29,36992000.0,SELL,-158000.0
2023-06-20,36946000.0,BUY,555000.0
2023-07-13,40112000.0,SELL,-539000.0
2023-08-07,38622000.0,BUY,221000.0
2023-08-17,36588000.0,SELL,-1344000.0
2023-09-14,35889000.0,BUY,410000.0
2023-09-18,36000000.0,SELL,-1445000.0
2023-09-20,36501000.0,BUY,999000.0
2023-12-25,58042000.0,SELL,-2185000.0
2023-12-31,57047000.0,BUY,97000.0
2024-01-03,58581000.0,SELL,-154000.0
2024-01-04,59477000.0,BUY,1449000.0
2024-01-14,57391000.0,SELL,-651000.0
2024-01-15,58354000.0,BUY,1322000.0
2024-01-21,57387000.0,SELL,-1452000.0
2024-02-02,59299000.0,BUY,331000.0
2024-02-05,58882000.0,SELL,-314000.0
2024-02-06,59039000.0,BUY,263000.0
2024-04-01,100100000.0,SELL,-1100000.0
2024-04-05,98394000.0,BUY,1627000.0
2024-04-06,99023000.0,SELL,-899000.0
2024-04-07,99369000.0,BUY,329000.0
2024-04-09,99350000.0,SELL,-376000.0
2024-04-10,100600000.0,BUY,5048000.0
2024-04-14,98905000.0,SELL,-297000.0
2024-04-22,97192000.0,BUY,1139000.0
2024-04-23,96045000.0,SELL,-457000.0
2024-05-17,92646000.0,BUY,1147000.0
2024-06-11,95329000.0,SELL,-92000.0
2024-06-12,95934000.0,BUY,1034000.0
2024-06-13,94614000.0,SELL,-600000.0
2024-07-15,91162000.0,BUY,3712000.0
2024-08-04,81871000.0,SELL,-9291000.0
2024-08-24,85767000.0,BUY,3896000.0
2024-08-28,80569000.0,SELL,-5828000.0
2024-09-17,81116000.0,BUY,547000.0
2024-10-09,82385000.0,SELL,-1507000.0
2024-10-11,84451000.0,BUY,26000.0
2024-12-30,137892000.0,SELL,-313000.0
2025-01-15,147309000.0,BUY,3233000.0
2025-02-06,151356000.0,SELL,-989000.0
2025-03-19,127194000.0,BUY,2863000.0
2025-03-20,124297000.0,SELL,-202000.0
2025-03-29,123378000.0,BUY,2267000.0
2025-03-31,123209000.0,SELL,-23000.0
2025-04-01,126632000.0,BUY,2761000.0
2025-04-03,123244000.0,SELL,-634000.0
2025-04-05,123300000.0,BUY,1551000.0
2025-04-06,117517000.0,SELL,-5284000.0
2025-04-22,133855000.0,BUY,11057000.0
2025-06-04,145210000.0,SELL,-816000.0
2025-06-24,145625000.0,BUY,415000.0
2025-06-29,147996000.0,SELL,-2334000.0
2025-07-02,147372000.0,BUY,1571000.0
2025-08-01,158102000.0,SELL,-1579000.0
2025-08-07,161853000.0,BUY,753000.0
2025-08-08,160099000.0,SELL,-1329000.0
2025-08-09,160180000.0,BUY,108000.0
2025-08-18,161513000.0,SELL,-1645000.0
2025-08-22,161176000.0,BUY,3800000.0
2025-08-23,159705000.0,SELL,-522000.0
2025-09-10,158561000.0,BUY,824000.0
2025-09-11,160375000.0,SELL,-801000.0
2025-09-12,161101000.0,BUY,1396000.0
2025-10-21,163400000.0,SELL,-5024000.0
