name,tr,br,cagr,mdd,sharpe
ATR1.0x_SMA30,13711.239302815311,252.02972995313297,2.3070868944323433,-73.83251989422885,1.6994664049879422
ATR1.5x_SMA30,13711.239302815311,252.02972995313297,2.3070868944323433,-73.83251989422885,1.6994664049879422
ATR2.0x_SMA30,13711.239302815311,252.02972995313297,2.3070868944323433,-73.83251989422885,1.6994664049879422
Leverage2.0x_SMA30,13711.239302815311,252.02972995313297,2.3070868944323433,-73.83251989422885,1.6994664049879422
ATR0.5x_SMA30,12757.65646329659,252.02972995313297,2.2772901489172432,-73.47702328038342,1.6918120665684664
ATR1.0x_SMA35,8346.715188801472,252.02972995313297,2.1072775828283734,-86.37759293859644,1.6282579815188418
ATR1.5x_SMA35,8346.715188801472,252.02972995313297,2.1072775828283734,-86.37759293859644,1.6282579815188418
ATR2.0x_SMA35,8346.715188801472,252.02972995313297,2.1072775828283734,-86.37759293859644,1.6282579815188418
Leverage2.0x_SMA35,8346.715188801472,252.02972995313297,2.1072775828283734,-86.37759293859644,1.6282579815188418
ATR0.5x_SMA35,7644.034541994472,252.02972995313297,2.0731559371625288,-86.24085679691515,1.6181966874841045
Leverage1.8x_SMA30,6958.463209213395,252.02972995313297,2.037110812424981,-68.23612627026733,1.6994664049879429
Leverage1.8x_SMA35,4485.48507441171,252.02972995313297,1.8741942660991113,-82.85817688108807,1.6282579815188423
ATR1.0x_SMA25,3598.9300801068734,252.02972995313297,1.795813479845572,-81.2131946336006,1.5055804745869774
ATR1.5x_SMA25,3598.9300801068734,252.02972995313297,1.795813479845572,-81.2131946336006,1.5055804745869774
ATR2.0x_SMA25,3598.9300801068734,252.02972995313297,1.795813479845572,-81.2131946336006,1.5055804745869774
Leverage2.0x_SMA25,3598.9300801068734,252.02972995313297,1.795813479845572,-81.2131946336006,1.5055804745869774
ATR0.5x_SMA25,3414.1478583730363,252.02972995313297,1.7773718012353688,-81.10516037085746,1.5004195720093239
TrendStrength_SMA30,2500.1626044599566,252.02972995313297,1.6708172652516424,-69.97229622277075,1.6045114796130266
TrendStrength_SMA35,2405.913213441982,252.02972995313297,1.6579622928898252,-75.56082899904227,1.5847073348804548
Leverage1.5x_SMA30,2245.9787235189656,252.02972995313297,1.6351044685883664,-58.6842409779227,1.6994664049879424
CondLev_ROC>3%_SMA30,2164.770642257397,252.02972995313297,1.6229480234199403,-53.181744811753774,1.7246233509820093
Leverage1.8x_SMA25,2103.611942750761,252.02972995313297,1.6135267485263172,-77.3488345648962,1.5055804745869783
CondLev_ROC>5%_SMA30,1669.3340426692678,252.02972995313297,1.5387390020245255,-53.408389388104474,1.6952481525674514
CondLev_ROC>3%_SMA35,1601.1422292729771,252.02972995313297,1.5254790457081895,-69.03801184524815,1.6728155892712804
Leverage1.5x_SMA35,1571.947168937857,252.02972995313297,1.5196505301558658,-76.12099584517452,1.628257981518842
CondLev_ROC>7%_SMA30,1246.128914566598,252.02972995313297,1.447228872497174,-53.64939858355886,1.6581317310097023
CondLev_ROC>5%_SMA35,1202.0346948982926,252.02972995313297,1.436184083950823,-67.17174726275869,1.6370324892752854
TrendStrength_SMA25,1161.708977796339,252.02972995313297,1.4257685767524975,-64.21872356081938,1.4985688215572421
MomScale_ROC20_SMA30,1113.520800238735,252.02972995313297,1.4128993785858635,-57.052645613436304,1.5503884703773851
CondLev_ROC>3%_SMA25,1012.7411287061772,252.02972995313297,1.384329164890278,-66.55833261338664,1.5744671598427609
MomScale_ROC15_SMA30,903.8565352229878,252.02972995313297,1.350518902795578,-64.86205834862201,1.561753927558083
CondLev_ROC>7%_SMA35,898.8474393625222,252.02972995313297,1.3488793523578275,-64.94867065907093,1.5993748269614991
MomScale_ROC25_SMA30,888.5448669558529,252.02972995313297,1.3454818987446573,-66.94490081960562,1.4773357157245757
Leverage1.5x_SMA25,836.3204790485778,252.02972995313297,1.3277110143188628,-70.26917286798599,1.5055804745869774
MomScale_ROC20_SMA35,820.0895955773557,252.02972995313297,1.3219901779561303,-67.84730894972537,1.5028762518701664
CondLev_ROC>5%_SMA25,813.4580758176705,252.02972995313297,1.3196242627843562,-62.87296822688027,1.5498284311562471
MomScale_ROC15_SMA35,699.733689612882,252.02972995313297,1.2761758402460526,-73.9379952197892,1.5153166066403791
MomScale_ROC25_SMA35,665.6516801997798,252.02972995313297,1.2619498740015018,-74.58027429682392,1.4308716757178195
CondLev_ROC>7%_SMA25,653.7154245766905,252.02972995313297,1.2568167643866803,-60.579015232304236,1.5237224231856212
Leverage1.2x_SMA30,632.7008464001701,252.02972995313297,1.2475770183816652,-49.32333904573586,1.6994664049879422
MomScale_ROC20_SMA25,562.1638091297409,252.02972995313297,1.2144657345256684,-61.79308597979932,1.4218057158405037
Leverage1.2x_SMA35,478.8879389514003,252.02972995313297,1.1703333606710613,-67.24713037818991,1.6282579815188418
MomScale_ROC15_SMA25,469.08664415153254,252.02972995313297,1.164705523917927,-58.62373674955755,1.431837073003469
MomScale_ROC25_SMA25,403.3592223791179,252.02972995313297,1.1240614045950559,-58.85826925516625,1.3581813740033797
Leverage1.2x_SMA25,289.0465075579251,252.02972995313297,1.037021861636862,-61.36872720597088,1.5055804745869779
VolTarget0.5_SMA35,283.12553304548715,252.02972995313297,1.0317350958586604,-52.51832520174607,1.763281385564223
VolTarget0.5_SMA30,274.42875724150053,252.02972995313297,1.0237918213084303,-53.74155613405198,1.7598236816091222
Complex_SMA30_Mom20,181.16448084457826,252.02972995313297,0.9209697087232867,-52.25008127735229,1.7570374473030927
Complex_SMA35_Mom20,179.32319307901784,252.02972995313297,0.9185073374033037,-51.343887046577855,1.7626723227131793
Complex_SMA30_Mom15,146.87234836553102,252.02972995313297,0.8710180699468106,-36.833098473896726,1.7590797027018708
Complex_SMA25_Mom20,134.42687563431613,252.02972995313297,0.8503324244824086,-57.94236419393597,1.6644398922724368
Complex_SMA35_Mom15,130.62055820086135,252.02972995313297,0.8436711917498987,-42.91794165160696,1.7277046128842724
VolTarget0.5_SMA25,121.61093329302942,252.02972995313297,0.8272007580964231,-67.97728267818515,1.5201717188411565
VolTarget0.4_SMA35,113.5578133774945,252.02972995313297,0.8115494559495304,-45.366625461028434,1.7326069822446235
VolTarget0.4_SMA30,108.81825350561394,252.02972995313297,0.8018782511764584,-46.348855245869494,1.7235847266141535
Complex_SMA25_Mom15,91.85462855716466,252.02972995313297,0.7639417557715362,-43.929197142407105,1.598400267167762
VolTarget0.4_SMA25,55.603671397646785,252.02972995313297,0.6561999525666795,-60.481657075446435,1.4841164544320322
VolTarget0.3_SMA35,41.99235447282038,252.02972995313297,0.5988326162562541,-35.3493396712906,1.697334532414793
VolTarget0.3_SMA30,40.00223002913544,252.02972995313297,0.5891155140133881,-36.26374836469093,1.681255519252513
VolTarget0.3_SMA25,23.60606609357954,252.02972995313297,0.4872875370699412,-49.66295559704159,1.4369242390204173
VolTarget0.2_SMA35,12.88429048054399,252.02972995313297,0.3784075895557035,-24.704183076490082,1.6865278044273546
Kelly_SMA30,12.698180979706935,252.02972995313297,0.3758917020364845,-19.436862518800364,1.6994664049879422
VolTarget0.2_SMA30,12.454550519440954,252.02972995313297,0.37254903837668185,-25.42844281437171,1.6695307426455752
Kelly_SMA35,11.57282363732531,252.02972995313297,0.3599532084725796,-30.852821591465812,1.628257981518842
Kelly_SMA25,9.677647142936943,252.02972995313297,0.3297557745616171,-27.359827179852665,1.5055804745869779
VolTarget0.2_SMA25,8.66373379900595,252.02972995313297,0.3114053468753555,-36.269755278242634,1.4118733224311109
